Expected value: 620.9375
Variance: 310.46875
Standard deviation: 17.62012343884117

Mean absolute error: 9314.3868
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 532
Largest counter value: 718

Mean counter value: 620.6132
Mean absolute deviation: 19.2014924
Standard deviation: 24.136233876891396
Maximum deviation: 97.3868
Variance: 582.5577857599999

Mean Counter Values per Word:
Word : Counter Value : Expected Value
conjuro         : 0.13          : 0.12
vuelven         : 0.13          : 0.12
cuesta          : 0.13          : 0.12
capaz           : 0.13          : 0.12
gallo           : 0.13          : 0.12
babuchas        : 0.13          : 0.12
granja          : 0.13          : 0.12
gafas           : 0.13          : 0.12
olmet           : 0.13          : 0.12
ocultas         : 0.13          : 0.12
contar          : 0.13          : 0.12
porto           : 0.13          : 0.12
sevilla         : 0.13          : 0.12
ciego           : 0.13          : 0.12
rendida         : 0.13          : 0.12
sangrado        : 0.13          : 0.12
mata            : 0.13          : 0.12
levanta         : 0.13          : 0.12
compañía        : 0.13          : 0.12
villa           : 0.13          : 0.12
catrecillo      : 0.13          : 0.12
cristiana       : 0.13          : 0.12
tranquilo       : 0.13          : 0.12
luchar          : 0.13          : 0.12
convierte       : 0.13          : 0.12
novia           : 0.13          : 0.12
corto           : 0.13          : 0.12
desaparecen     : 0.13          : 0.12
diré            : 0.13          : 0.12
cuero           : 0.13          : 0.12
oigo            : 0.13          : 0.12
desalentado     : 0.13          : 0.12
repiten         : 0.13          : 0.12
escuchaste      : 0.13          : 0.12
iba             : 0.13          : 0.12
habrán          : 0.13          : 0.12
morí            : 0.13          : 0.12
lucha           : 0.13          : 0.12
besos           : 0.13          : 0.12
maldición       : 0.13          : 0.12
poeta           : 0.13          : 0.12
trove           : 0.13          : 0.12
mendoza         : 0.13          : 0.12
romance         : 0.13          : 0.12
das             : 0.13          : 0.12
ballesteros     : 0.13          : 0.12
suele           : 0.13          : 0.12
amanece         : 0.13          : 0.12
edad            : 0.13          : 0.12
caballo         : 0.13          : 0.12
verle           : 0.13          : 0.12
mentir          : 0.13          : 0.12
permiso         : 0.13          : 0.12
enérgico        : 0.13          : 0.12
otorgado        : 0.13          : 0.12
otoño           : 0.13          : 0.12
defender        : 0.13          : 0.12
ensueño         : 0.13          : 0.12
blando          : 0.13          : 0.12
rubíes          : 0.13          : 0.12
horas           : 0.13          : 0.12
chimenea        : 0.13          : 0.12
sencillo        : 0.13          : 0.12
perfidia        : 0.13          : 0.12
hálito          : 0.13          : 0.12
furor           : 0.13          : 0.12
suspiros        : 0.13          : 0.12
plació          : 0.13          : 0.12
estrofas        : 0.13          : 0.12
escrita         : 0.13          : 0.12
insúa           : 0.13          : 0.12
tristemente     : 0.13          : 0.12
males           : 0.13          : 0.12
fuga            : 0.13          : 0.12
verdugos        : 0.13          : 0.12
alpujarra       : 0.13          : 0.12
tiróme          : 0.13          : 0.12
pendía          : 0.13          : 0.12
atención        : 0.13          : 0.12
hablaré         : 0.13          : 0.12
calumnia        : 0.13          : 0.12
asalto          : 0.13          : 0.12
camba           : 0.13          : 0.12
acento          : 0.13          : 0.12
