Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.46
Mean relative error: 1.88%
Mean accuracy ratio: 98.12%

Smallest counter value: 1619
Largest counter value: 1842

Mean counter value: 1723.81
Mean absolute deviation: 32.41479999999999
Standard deviation: 41.5980035578632
Maximum deviation: 118.19000000000005
Variance: 1730.3938999999998

Mean Counter Values per Word:
Word : Counter Value : Expected Value
andar           : 0.43          : 0.38
aonde           : 0.43          : 0.56
malícia         : 0.43          : 0.44
voa             : 0.43          : 0.50
noutra          : 0.43          : 0.44
torne           : 0.43          : 0.50
serena          : 0.43          : 0.38
monçaide        : 0.43          : 0.50
inveja          : 0.43          : 0.31
segurança       : 0.43          : 0.38
vulcano         : 0.43          : 0.50
gregos          : 0.43          : 0.31
agasalhados     : 0.43          : 0.38
cometer         : 0.43          : 0.44
milagre         : 0.43          : 0.50
sossegado       : 0.43          : 0.44
asas            : 0.43          : 0.50
sujeito         : 0.43          : 0.50
vêem            : 0.43          : 0.50
vila            : 0.43          : 0.38
vencer          : 0.43          : 0.50
chega           : 0.43          : 0.38
negros          : 0.43          : 0.44
üa              : 0.42          : 0.38
egas            : 0.42          : 0.38
cilada          : 0.42          : 0.44
facilmente      : 0.42          : 0.44
ouvir           : 0.42          : 0.50
digo            : 0.42          : 0.38
outeiros        : 0.42          : 0.44
árvores         : 0.42          : 0.44
resposta        : 0.42          : 0.31
imortais        : 0.42          : 0.38
ásia            : 0.42          : 0.38
gado            : 0.42          : 0.50
claramente      : 0.42          : 0.38
porfia          : 0.42          : 0.38
ligeiro         : 0.42          : 0.38
fere            : 0.42          : 0.38
aras            : 0.42          : 0.31
passando        : 0.42          : 0.44
lho             : 0.42          : 0.38
jaz             : 0.42          : 0.38
justo           : 0.42          : 0.50
pais            : 0.42          : 0.38
brava           : 0.42          : 0.38
corpos          : 0.42          : 0.38
cheiroso        : 0.41          : 0.31
fresca          : 0.41          : 0.44
verão           : 0.41          : 0.50
