Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.06
Mean relative error: 1.86%
Mean accuracy ratio: 98.14%

Smallest counter value: 1581
Largest counter value: 1866

Mean counter value: 1723.511
Mean absolute deviation: 32.071802
Standard deviation: 40.05403698754971
Maximum deviation: 142.51099999999997
Variance: 1604.325879

Mean Counter Values per Word:
Word : Counter Value : Expected Value
pequeno         : 0.63          : 0.62
possa           : 0.63          : 0.62
determina       : 0.62          : 0.62
vidas           : 0.62          : 0.62
nua             : 0.62          : 0.62
carne           : 0.62          : 0.56
outrem          : 0.62          : 0.62
mancebo         : 0.62          : 0.62
queria          : 0.62          : 0.62
pretende        : 0.62          : 0.62
levava          : 0.62          : 0.62
viram           : 0.62          : 0.62
cruel           : 0.62          : 0.62
espaço          : 0.61          : 0.56
levando         : 0.61          : 0.56
dali            : 0.61          : 0.56
espírito        : 0.61          : 0.56
mensageiro      : 0.61          : 0.56
virá            : 0.61          : 0.56
defesa          : 0.61          : 0.62
alguma          : 0.61          : 0.62
sustenta        : 0.60          : 0.56
barões          : 0.60          : 0.56
dava            : 0.60          : 0.56
dado            : 0.60          : 0.62
companheiros    : 0.60          : 0.62
proa            : 0.59          : 0.62
empresa         : 0.59          : 0.62
cercado         : 0.59          : 0.62
natura          : 0.59          : 0.62
roma            : 0.59          : 0.62
ramo            : 0.59          : 0.56
aonde           : 0.59          : 0.56
sair            : 0.59          : 0.56
ásperos         : 0.59          : 0.56
mande           : 0.59          : 0.62
vá              : 0.59          : 0.56
chamam          : 0.59          : 0.56
serviço         : 0.59          : 0.56
sejam           : 0.59          : 0.56
excelentes      : 0.59          : 0.56
nasce           : 0.59          : 0.62
remédio         : 0.59          : 0.56
cobiça          : 0.59          : 0.62
louro           : 0.59          : 0.56
espanta         : 0.58          : 0.56
longa           : 0.58          : 0.56
amado           : 0.58          : 0.56
tamanhas        : 0.58          : 0.56
mostrar         : 0.58          : 0.56
passado         : 0.58          : 0.56
viva            : 0.58          : 0.56
consente        : 0.58          : 0.56
sancho          : 0.57          : 0.56
abrindo         : 0.57          : 0.56
cavaleiros      : 0.57          : 0.56
suave           : 0.57          : 0.56
austro          : 0.57          : 0.56
membros         : 0.57          : 0.56
vede            : 0.57          : 0.56
regimento       : 0.57          : 0.56
havia           : 0.57          : 0.56
alcança         : 0.57          : 0.56
louvor          : 0.57          : 0.56
mostras         : 0.57          : 0.56
fortaleza       : 0.57          : 0.56
rudo            : 0.57          : 0.56
