Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 71.25
Mean relative error: 2.82%
Mean accuracy ratio: 97.18%

Smallest counter value: 2595
Largest counter value: 2595

Mean counter value: 2595.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
week            : 1.00          : 1.69
cocaine         : 1.00          : 0.19
drowsiness      : 1.00          : 0.06
attracted       : 1.00          : 0.31
study           : 1.00          : 0.62
doings          : 1.00          : 0.12
summons         : 1.00          : 0.12
odessa          : 1.00          : 0.06
murder          : 1.00          : 0.50
singular        : 1.00          : 2.06
trincomalee     : 1.00          : 0.06
finally         : 1.00          : 1.19
mission         : 1.00          : 0.19
signs           : 1.00          : 0.81
merely          : 1.00          : 0.62
press           : 1.00          : 0.62
knew            : 1.00          : 3.56
returned        : 1.00          : 2.25
civil           : 1.00          : 0.19
desire          : 1.00          : 0.38
lit             : 1.00          : 1.00
tall            : 1.00          : 0.75
pass            : 1.00          : 0.88
twice           : 1.00          : 1.00
eagerly         : 1.00          : 0.25
manner          : 1.00          : 1.75
chamber         : 1.00          : 1.00
corner          : 1.00          : 2.00
introspective   : 1.00          : 0.19
observe         : 1.00          : 1.19
girl            : 1.00          : 1.69
certainly       : 1.00          : 2.81
lived           : 1.00          : 0.75
country         : 1.00          : 2.19
imagine         : 1.00          : 1.81
mary            : 1.00          : 1.38
notice          : 1.00          : 0.50
rubbed          : 1.00          : 0.19
nervous         : 1.00          : 0.56
leather         : 1.00          : 0.38
cuts            : 1.00          : 0.12
obviously       : 1.00          : 0.31
order           : 1.00          : 1.31
black           : 1.00          : 3.19
medical         : 1.00          : 0.56
profession      : 1.00          : 0.62
process         : 1.00          : 0.31
thing           : 1.00          : 2.94
believe         : 1.00          : 2.19
throwing        : 1.00          : 0.81
example         : 1.00          : 0.81
frequently      : 1.00          : 0.62
hall            : 1.00          : 1.19
don             : 1.00          : 1.88
point           : 1.00          : 2.81
chronicle       : 1.00          : 0.31
sheet           : 1.00          : 0.75
tinted          : 1.00          : 0.50
note            : 1.00          : 2.25
address         : 1.00          : 1.56
clock           : 1.00          : 2.38
deepest         : 1.00          : 0.31
matters         : 1.00          : 1.25
importance      : 1.00          : 1.00
quarters        : 1.00          : 0.31
received        : 1.00          : 0.88
wear            : 1.00          : 0.56
facts           : 1.00          : 2.19
carefully       : 1.00          : 0.62
writing         : 1.00          : 0.75
wrote           : 1.00          : 0.88
peculiar        : 1.00          : 1.25
english         : 1.00          : 0.56
p               : 1.00          : 0.12
monogram        : 1.00          : 0.12
stands          : 1.00          : 0.38
company         : 1.00          : 1.12
glance          : 1.00          : 1.06
heavy           : 1.00          : 1.88
shelves         : 1.00          : 0.12
eglonitz        : 1.00          : 0.06
remarkable      : 1.00          : 1.31
boy             : 1.00          : 1.31
sent            : 1.00          : 1.25
remains         : 1.00          : 0.44
writes          : 1.00          : 0.06
wheels          : 1.00          : 0.44
pull            : 1.00          : 0.44
whistled        : 1.00          : 0.12
pair            : 1.00          : 0.75
continued       : 1.00          : 0.88
nice            : 1.00          : 0.44
apiece          : 1.00          : 0.25
stay            : 1.00          : 0.56
interesting     : 1.00          : 1.31
sit             : 1.00          : 1.06
step            : 1.00          : 1.50
immediately     : 1.00          : 0.44
loud            : 1.00          : 0.19
entered         : 1.00          : 2.06
hercules        : 1.00          : 0.06
rich            : 1.00          : 0.69
england         : 1.00          : 1.25
taste           : 1.00          : 0.19
sleeves         : 1.00          : 0.31
coat            : 1.00          : 1.81
deep            : 1.00          : 1.62
single          : 1.00          : 1.19
halfway         : 1.00          : 0.12
suggested       : 1.00          : 0.56
appearance      : 1.00          : 1.00
broad           : 1.00          : 1.00
upper           : 1.00          : 0.62
apparently      : 1.00          : 0.31
lower           : 1.00          : 0.44
character       : 1.00          : 1.25
straight        : 1.00          : 0.50
seat            : 1.00          : 0.69
honour          : 1.00          : 0.75
extreme         : 1.00          : 0.56
prefer          : 1.00          : 0.44
caught          : 1.00          : 1.25
begin           : 1.00          : 0.38
absolute        : 1.00          : 0.94
secrecy         : 1.00          : 0.44
present         : 1.00          : 1.69
weight          : 1.00          : 0.44
excuse          : 1.00          : 0.94
called          : 1.00          : 1.62
exactly         : 1.00          : 0.50
aware           : 1.00          : 0.62
circumstances   : 1.00          : 0.56
implicates      : 1.00          : 0.06
murmured        : 1.00          : 0.38
closing         : 1.00          : 0.38
surprise        : 1.00          : 1.00
languid         : 1.00          : 0.12
sprang          : 1.00          : 1.44
agitation       : 1.00          : 0.31
gesture         : 1.00          : 0.31
ground          : 1.00          : 1.44
duke            : 1.00          : 0.44
cassel          : 1.00          : 0.06
sitting         : 1.00          : 2.06
putting         : 1.00          : 0.62
consulting      : 1.00          : 0.19
opening         : 1.00          : 0.69
commander       : 1.00          : 0.06
imperial        : 1.00          : 0.06
letters         : 1.00          : 1.69
papers          : 1.00          : 2.81
purposes        : 1.00          : 0.25
stolen          : 1.00          : 0.31
failed          : 1.00          : 0.38
pay             : 1.00          : 1.06
sell            : 1.00          : 0.31
travelled       : 1.00          : 0.38
waylaid         : 1.00          : 0.12
ruin            : 1.00          : 0.44
bring           : 1.00          : 1.44
send            : 1.00          : 0.81
bag             : 1.00          : 0.62
notes           : 1.00          : 0.56
book            : 1.00          : 0.62
lodge           : 1.00          : 1.19
john            : 1.00          : 1.62
wood            : 1.00          : 0.81
cabinet         : 1.00          : 0.12
added           : 1.00          : 0.19
morrow          : 1.00          : 1.12
