Expected value: 841.625
Variance: 420.8125
Standard deviation: 20.513714924410937

Mean absolute error: 12624.2258
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 744
Largest counter value: 957

Mean counter value: 841.7742
Mean absolute deviation: 22.23601288
Standard deviation: 27.871763746846018
Maximum deviation: 115.22580000000005
Variance: 776.83521436

Mean Counter Values per Word:
Word : Counter Value : Expected Value
mornings        : 0.24          : 0.25
denie           : 0.24          : 0.25
gyrle           : 0.24          : 0.25
hatefull        : 0.24          : 0.25
gaue            : 0.24          : 0.25
course          : 0.24          : 0.25
golden          : 0.24          : 0.25
east            : 0.24          : 0.25
wench           : 0.24          : 0.25
sell            : 0.24          : 0.25
appothecarie    : 0.24          : 0.25
amen            : 0.24          : 0.25
fought          : 0.24          : 0.25
match           : 0.24          : 0.25
thumbe          : 0.24          : 0.25
wind            : 0.24          : 0.25
wedding         : 0.24          : 0.25
going           : 0.24          : 0.25
hood            : 0.24          : 0.25
laid            : 0.24          : 0.25
weake           : 0.24          : 0.25
forsworne       : 0.24          : 0.25
morne           : 0.24          : 0.25
ghostly         : 0.24          : 0.25
fight           : 0.24          : 0.25
tut             : 0.24          : 0.25
making          : 0.20          : 0.19
boyes           : 0.20          : 0.19
occasion        : 0.20          : 0.19
iest            : 0.19          : 0.19
window          : 0.19          : 0.19
baud            : 0.19          : 0.19
maske           : 0.19          : 0.19
purpose         : 0.19          : 0.19
fortunes        : 0.19          : 0.19
beat            : 0.19          : 0.19
bodies          : 0.19          : 0.19
teach           : 0.19          : 0.19
mortall         : 0.19          : 0.19
therfore        : 0.19          : 0.19
cast            : 0.19          : 0.19
immortall       : 0.19          : 0.19
sute            : 0.19          : 0.19
nightingale     : 0.19          : 0.19
wretch          : 0.19          : 0.19
barke           : 0.19          : 0.19
knew            : 0.19          : 0.19
wooe            : 0.19          : 0.19
vext            : 0.19          : 0.19
charge          : 0.19          : 0.19
heard           : 0.19          : 0.19
passion         : 0.19          : 0.19
fatall          : 0.19          : 0.19
askt            : 0.19          : 0.19
noise           : 0.19          : 0.19
modestie        : 0.19          : 0.19
susan           : 0.19          : 0.19
woman           : 0.19          : 0.19
philosophie     : 0.19          : 0.19
wed             : 0.19          : 0.19
streets         : 0.19          : 0.19
white           : 0.19          : 0.19
gregory         : 0.19          : 0.19
bridall         : 0.19          : 0.19
gaze            : 0.19          : 0.19
saist           : 0.19          : 0.19
foot            : 0.19          : 0.19
maides          : 0.19          : 0.19
hist            : 0.19          : 0.19
aside           : 0.19          : 0.19
goes            : 0.19          : 0.19
fickle          : 0.19          : 0.19
yeare           : 0.19          : 0.19
keepes          : 0.19          : 0.19
dwell           : 0.19          : 0.19
fiend           : 0.19          : 0.19
deuise          : 0.19          : 0.19
date            : 0.19          : 0.19
fooles          : 0.19          : 0.19
coze            : 0.19          : 0.19
thoughts        : 0.19          : 0.19
kindreds        : 0.19          : 0.19
presently       : 0.19          : 0.19
browes          : 0.19          : 0.19
haire           : 0.19          : 0.19
canst           : 0.19          : 0.19
likenesse       : 0.19          : 0.19
proofe          : 0.19          : 0.19
assoone         : 0.19          : 0.19
hollow          : 0.19          : 0.19
thrust          : 0.19          : 0.19
discords        : 0.19          : 0.19
scratch         : 0.19          : 0.19
chuse           : 0.19          : 0.19
noyse           : 0.19          : 0.19
vaine           : 0.19          : 0.19
grow            : 0.19          : 0.19
sadnesse        : 0.19          : 0.19
twas            : 0.19          : 0.19
logs            : 0.19          : 0.19
sworne          : 0.19          : 0.19
asleepe         : 0.19          : 0.19
substance       : 0.19          : 0.19
cease           : 0.19          : 0.19
wrong           : 0.19          : 0.19
fro             : 0.19          : 0.19
lets            : 0.19          : 0.19
flie            : 0.19          : 0.19
beast           : 0.19          : 0.19
tyb             : 0.19          : 0.19
laugh           : 0.19          : 0.19
cup             : 0.19          : 0.19
herselfe        : 0.19          : 0.19
loathsome       : 0.19          : 0.19
emptie          : 0.19          : 0.19
wound           : 0.19          : 0.19
finde           : 0.19          : 0.19
cries           : 0.19          : 0.19
apt             : 0.19          : 0.19
knowest         : 0.19          : 0.19
wretched        : 0.19          : 0.19
speed           : 0.19          : 0.19
blowes          : 0.19          : 0.19
lost            : 0.19          : 0.19
rul             : 0.19          : 0.19
content         : 0.19          : 0.19
cupid           : 0.19          : 0.19
vertuous        : 0.19          : 0.19
banisht         : 0.19          : 0.19
left            : 0.19          : 0.19
burthen         : 0.19          : 0.19
lights          : 0.19          : 0.19
craues          : 0.19          : 0.19
dinner          : 0.19          : 0.19
prayers         : 0.19          : 0.19
temper          : 0.19          : 0.19
approach        : 0.19          : 0.19
withdraw        : 0.19          : 0.19
wide            : 0.19          : 0.19
couer           : 0.19          : 0.19
fault           : 0.19          : 0.19
visor           : 0.19          : 0.19
inconstant      : 0.19          : 0.19
ieast           : 0.19          : 0.19
fast            : 0.19          : 0.19
heauens         : 0.19          : 0.19
wedded          : 0.19          : 0.19
gods            : 0.19          : 0.19
peters          : 0.19          : 0.19
afternoone      : 0.19          : 0.19
vnaccustom      : 0.19          : 0.19
slaue           : 0.19          : 0.19
braine          : 0.19          : 0.19
businesse       : 0.19          : 0.19
paine           : 0.19          : 0.19
