Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 62.375
Mean relative error: 3.62%
Mean accuracy ratio: 96.38%

Smallest counter value: 1662
Largest counter value: 1662

Mean counter value: 1662.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
responde        : 1.00          : 0.88
europa          : 1.00          : 0.56
mortais         : 1.00          : 0.31
verás           : 1.00          : 0.62
finas           : 1.00          : 0.19
pelouros        : 1.00          : 0.31
dêem            : 1.00          : 0.25
leão            : 1.00          : 0.19
olho            : 1.00          : 0.19
determina       : 1.00          : 0.62
possa           : 1.00          : 0.62
trabalho        : 1.00          : 1.38
segredos        : 1.00          : 0.44
juízo           : 1.00          : 0.62
pérfido         : 1.00          : 0.25
falso           : 1.00          : 0.94
ajuntamento     : 1.00          : 0.56
destruído       : 1.00          : 0.25
chegado         : 1.00          : 0.69
oportuno        : 1.00          : 0.06
melhor          : 1.00          : 0.88
nações          : 1.00          : 0.69
correndo        : 1.00          : 0.69
mulheres        : 1.00          : 0.38
filhos          : 1.00          : 1.44
vir             : 1.00          : 1.06
danada          : 1.00          : 0.12
saindo          : 1.00          : 0.19
manha           : 1.00          : 0.94
casos           : 1.00          : 0.81
português       : 1.00          : 1.06
cuidado         : 1.00          : 0.50
escapar         : 1.00          : 0.12
mente           : 1.00          : 0.44
contrário       : 1.00          : 0.50
andavam         : 1.00          : 0.19
ribeira         : 1.00          : 0.06
alva            : 1.00          : 0.19
arenosa         : 1.00          : 0.31
cães            : 1.00          : 0.38
corre           : 1.00          : 1.00
brada           : 1.00          : 0.38
dura            : 1.00          : 1.94
cuidou          : 1.00          : 0.12
inerte          : 1.00          : 0.19
cria            : 1.00          : 0.62
pau             : 1.00          : 0.38
firme           : 1.00          : 1.06
estreito        : 1.00          : 0.75
braço           : 1.00          : 1.50
presa           : 1.00          : 0.75
achar           : 1.00          : 0.38
resistência     : 1.00          : 0.62
encerra         : 1.00          : 0.25
tratava         : 1.00          : 0.19
desejado        : 1.00          : 0.12
vinha           : 1.00          : 1.31
filhas          : 1.00          : 0.50
nereu           : 1.00          : 0.38
passava         : 1.00          : 0.25
pede            : 1.00          : 0.75
dádivas         : 1.00          : 0.12
mahamede        : 1.00          : 0.19
levar           : 1.00          : 0.38
levava          : 1.00          : 0.62
entra           : 1.00          : 0.75
fraco           : 1.00          : 0.75
segura          : 1.00          : 0.31
extremo         : 1.00          : 0.50
desejoso        : 1.00          : 0.19
cansada         : 1.00          : 0.25
prestante       : 1.00          : 0.19
sorte           : 1.00          : 1.56
fantasia        : 1.00          : 0.50
falsa           : 1.00          : 0.44
dous            : 1.00          : 0.75
daquilo         : 1.00          : 0.12
navegante       : 1.00          : 0.25
mostrando       : 1.00          : 0.81
adorava         : 1.00          : 0.12
pintura         : 1.00          : 0.50
santa           : 1.00          : 1.56
giolhos         : 1.00          : 0.19
sentidos        : 1.00          : 0.12
excelentes      : 1.00          : 0.56
moça            : 1.00          : 0.19
haver           : 1.00          : 0.38
escuro          : 1.00          : 0.56
subiam          : 1.00          : 0.19
barcos          : 1.00          : 0.12
navios          : 1.00          : 0.12
âncoras         : 1.00          : 0.31
costumada       : 1.00          : 0.12
sós             : 1.00          : 0.94
linda           : 1.00          : 0.56
guardando       : 1.00          : 0.25
voa             : 1.00          : 0.50
chegasse        : 1.00          : 0.19
suma            : 1.00          : 0.50
teso            : 1.00          : 0.06
fadigas         : 1.00          : 0.12
apesar          : 1.00          : 0.19
ameaçando       : 1.00          : 0.12
hão             : 1.00          : 0.50
subitamente     : 1.00          : 0.19
aventurar       : 1.00          : 0.25
pessoa          : 1.00          : 0.25
estando         : 1.00          : 0.75
soa             : 1.00          : 0.31
fugir           : 1.00          : 0.31
cabeças         : 1.00          : 0.44
darem           : 1.00          : 0.06
solta           : 1.00          : 0.25
contraste       : 1.00          : 0.12
estranho        : 1.00          : 0.56
claríssimo      : 1.00          : 0.12
guarda          : 1.00          : 0.56
fraca           : 1.00          : 0.56
divina          : 1.00          : 1.25
aparência       : 1.00          : 0.19
confiança       : 1.00          : 0.44
prudência       : 1.00          : 0.38
alcança         : 1.00          : 0.56
bondade         : 1.00          : 0.19
nalgum          : 1.00          : 0.12
esfera          : 1.00          : 0.25
inspirava       : 1.00          : 0.06
pólos           : 1.00          : 0.06
vira            : 1.00          : 0.38
andando         : 1.00          : 0.19
